Ime;Višinska_razlika;Zahtevnost;Čas
Jampršnik;259;lahka označena pot;60
Javornik nad Črnim Vrhom;410;lahka označena pot;60
Javornik nad Črnim Vrhom;440;lahka označena pot;70
Javornik nad Črnim Vrhom;650;lahka označena pot;150
Javornik nad Črnim Vrhom;550;lahka označena pot;150
Javornik nad Črnim Vrhom;475;lahka označena pot;135
Javornik nad Črnim Vrhom;370;lahka označena pot;105
Javornik nad Črnim Vrhom;650;lahka označena pot;180
Javornik nad Črnim Vrhom;355;lahka označena pot;90
Ježa;209;lahka označena pot;30
Ježa;130;lahka označena pot;45
Jurjev hrib;91;lahka neoznačena steza;35
Kameni zid;531;lahka označena pot;90
Kamno čelo (Mandrija);137;lahka neoznačena steza;25
Kavčič;550;lahka označena pot;150
Kavčič;300;lahka neoznačena steza;45
Klada;400;lahka označena pot;170
Koča Antona Bavčerja na Čavnu;475;lahka označena pot;90
Koča Antona Bavčerja na Čavnu;222;lahka označena pot;60
Koča Antona Bavčerja na Čavnu;1072;lahka označena pot;150
Koča Antona Bavčerja na Čavnu;375;lahka označena pot;75
Koča Antona Bavčerja na Čavnu;1000;lahka označena pot;150
Koča Antona Bavčerja na Čavnu;957;lahka označena pot;135
Koča Antona Bavčerja na Čavnu;915;lahka označena pot;165
Koča na Kamnem griču;140;lahka označena pot;45
Koča na Kamnem griču;480;lahka označena pot;95
Koča na Kamnem griču;300;lahka označena pot;75
Koča na Kamnem griču;250;lahka označena pot;50
Koča na Kamnem griču;335;lahka označena pot;120
Koča na Kamnem griču;215;lahka označena pot;45
Koča na Kamnem griču;162;lahka označena pot;25
Koča na Kavcu;140;lahka označena pot;45
Koča na Kozleku;600;lahka označena pot;105
Koča na Kozleku;250;lahka označena pot;60
Koča na Kozleku;572;lahka označena pot;105
Koča na Planini nad Vrhniko;347;lahka označena pot;60
Koča na Planini nad Vrhniko;433;lahka označena pot;60
Koča na Planini nad Vrhniko;233;lahka označena pot;45
Koča na Planini nad Vrhniko;433;lahka označena pot;65
Koča na Planini nad Vrhniko;100;lahka označena pot;45
Koča na Planini nad Vrhniko;409;lahka označena pot;75
Koča na Planini nad Vrhniko;409;lahka označena pot;75
Koča na Planini nad Vrhniko;418;lahka označena pot;70
Koča na Planini nad Vrhniko;270;lahka označena pot;100
Koča na Vrhu Svetih Treh Kraljev;200;lahka označena pot;90
Koča na Vrhu Svetih Treh Kraljev;290;lahka označena pot;80
Koča na Vrhu Svetih Treh Kraljev;223;lahka označena pot;75
Koča na Vrhu Svetih Treh Kraljev;115;lahka označena pot;35
Koča na Vrhu Svetih Treh Kraljev;142;lahka označena pot;35
Koča na Vrhu Svetih Treh Kraljev;290;lahka označena pot;75
Koča na Vrhu Svetih Treh Kraljev;115;lahka označena pot;30
Koča na Vrhu Svetih Treh Kraljev;450;lahka označena pot;140
Koča na Vrhu Svetih Treh Kraljev;115;lahka označena pot;35
Kojnik;284;lahka označena pot;60
Kojnik;440;lahka označena pot;80
Kojnik;284;lahka neoznačena steza;90
Kokoš;290;lahka označena pot;90
Kokoš;260;lahka označena pot;60
Kokoš;260;lahka označena pot;50
Kokoš;240;lahka označena pot;90
Kokoš;260;lahka označena pot;50
Kokoš;230;lahka označena pot;120
Kokoš;244;lahka označena pot;40
Kokoš;200;lahka označena pot;40
Kokoš;240;lahka označena pot;90
Kopitnik;600;lahka označena pot;150
Kopitnik;565;lahka označena pot;85
Kopitnik;715;lahka neoznačena steza;180
Kopitnik;870;lahka neoznačena steza, lahka označena pot;165
Korada;712;lahka označena pot;150
Korada;612;lahka označena pot;150
Korada;706;lahka označena pot;180
Kovk;541;lahka označena pot;90
Kovk;334;lahka označena pot;60
Kovk;705;lahka neoznačena steza;130
Kraguljc;515;lahka označena pot;85
Kraguljc;405;lahka označena pot;95
Kraguljc;585;lahka neoznačena steza;90
Krempa;268;lahka označena pot;50
Krim;747;lahka označena pot;135
Krim;785;lahka označena pot;130
Krim;385;lahka označena pot;120
Krim;830;lahka označena pot;150
Krim;350;lahka označena pot;110
Krim;204;lahka označena pot;50
Krim;760;delno zahtevna označena pot;120
Krim;798;lahka označena pot;130
Krim;375;lahka označena pot;95
Krim;740;lahka označena pot;140
Krim;825;lahka označena pot;140
Krim;798;lahka označena pot;130
Krim;792;lahka označena pot;135
Krim;745;lahka označena pot;130
Krim;800;lahka označena pot;135
Krim;525;lahka označena pot;135
Krimšček;550;lahko brezpotje;100
Križna gora;132;lahka označena pot;20
Križna gora;295;lahka označena pot;75
Križna gora;220;lahka označena pot;35
Križna gora (Hrušica);364;lahka označena pot;80
Križna gora (Hrušica);364;lahka označena pot;60
Križna gora (Hrušica);550;lahka označena pot;140
Križna gora nad Colom;335;lahka neoznačena steza;55
Križna gora nad Colom;370;lahka neoznačena steza;70
Krog;155;lahka neoznačena steza;50
Krog;225;lahka neoznačena steza;80
Krog;415;lahka označena pot, lahko brezpotje;190
Krokar;1050;delno zahtevna označena pot, lahka neoznačena steza;195
Kršičevec;387;lahka označena pot;90
Kršičevec;550;lahka neoznačena steza;135
Kršičevec;450;lahka neoznačena steza;150
Kucelj na Čavnu;877;lahka označena pot;135
Kucelj na Čavnu;475;lahka označena pot;120
Kucelj na Čavnu;515;delno zahtevna označena pot;120
Kucelj na Čavnu;300;lahka označena pot;105
Kucelj na Čavnu;400;lahka označena pot;100
Kucelj na Čavnu;1170;lahka označena pot;195
Kucelj na Čavnu;1000;lahka označena pot;165
Kucelj na Čavnu;550;lahka označena pot;135
Kucelj na Čavnu;1040;lahka označena pot;175
Kucelj na Čavnu;1050;lahka označena pot;180
Kucelj na Čavnu;900;lahka označena pot;180
Kucelj na Čavnu;1060;lahka označena pot;180
Kuk;365;lahka označena pot;170
Kuk;250;lahka označena pot;75
Kuk;175;lahka označena pot;60
Kuk (Kolovrat);510;lahka neoznačena steza;130
Kuk (Kolovrat);128;lahka neoznačena steza;20
Kuk (Kolovrat);551;lahka neoznačena steza;90
Kuk nad Paljevim;527;lahka neoznačena steza;95
Kuk nad Paljevim;630;lahka neoznačena steza;125
Kuk nad Paljevim;527;lahka neoznačena steza;105
Kuren (Sveti Miklavž);202;lahka označena pot;35
Kurešček;119;lahka označena pot;20
Kurešček;225;lahka označena pot;45
Kurešček;535;lahka označena pot;110
Kurešček;500;lahka označena pot;105
Kurešček;111;lahka označena pot;15
Kuželjska stena;170;lahka označena pot;45
Lačna;300;lahka označena pot;75
Lačna;155;lahka označena pot;30
Lačna;235;lahka označena pot;45
Lačna;160;lahka označena pot;35
Lačna;300;lahka označena pot;130
Lačna;490;lahka označena pot;240
Lašček;240;lahka označena pot;60
Lašček;158;lahka označena pot;120
Lašček;158;lahka označena pot;105
Lašček;275;lahka označena pot;80
Laze;348;lahka označena pot, delno zahtevna označena pot;90
Lešenjak;525;lahka označena pot;165
Leskovica (nad Stražiščem);82;lahka neoznačena steza;20
Leskovica (nad Stražiščem);155;lahka neoznačena steza;30
Lipnik;414;lahka označena pot;100
Ljubljanski vrh;525;lahka neoznačena steza;120
Lopar;215;lahka neoznačena steza;150
Loška stena;150;lahka označena pot;90
Loška stena;865;lahka označena pot;230
Loška stena;380;lahka označena pot;110
Loška stena;490;lahka označena pot;145
Loška stena;600;lahka označena pot;160
Lovska koča na Planinski gori;359;lahka neoznačena steza;50
