Ime;Višinska_razlika;Zahtevnost;Čas
Hotunjski vrh;650;lahka neoznačena steza;150
Hotunjski vrh;670;lahka neoznačena steza;135
Humčič;460;lahka neoznačena steza;90
Humčič;400;zahtevna neoznačena steza;105
Idrska planina;390;lahka označena pot;70
Idrska planina;450;lahka označena pot;85
Iglica;50;delno zahtevna označena pot;10
Ingotova koča na planini Jesenje;180;lahka označena pot;60
Ingotova koča na planini Jesenje;180;lahka označena pot;60
Italijanska vojaška kapela na Planici;250;lahka označena pot;60
Italijanska vojaška kapela na Planici;240;lahka neoznačena steza;55
Izvir Bele;115;lahka označena pot;30
Izvir Bohinjske Bistrice;87;lahka označena pot;50
Izvir Boke;650;zahtevna označena pot;105
Izvir Glijuna;30;lahka označena pot;10
Izvir Lipnika;45;lahka označena pot;50
Izvir Nadiže;310;delno zahtevna označena pot;65
Izvir Soče;110;zahtevna označena pot;15
Izvir Tolminke;238;lahka označena pot;60
Jalovec;1537;zelo zahtevna označena pot;315
Jalovec;1500;zelo zahtevna označena pot;390
Jalovec;1350;zelo zahtevna označena pot;360
Jalovec;1745;zelo zahtevna označena pot;360
Jalovec;1650;zelo zahtevna označena pot;345
Jalovec;1745;zelo zahtevna označena pot;360
Jalovec;1537;zelo zahtevno brezpotje;330
Jalovec;2100;zelo zahtevna označena pot;450
Jalovec;1537;zelo zahtevna označena pot;315
Jalovec;2200;zelo zahtevna označena pot;495
Jalovnik;450;lahka neoznačena steza;90
Jalovnik;420;lahka neoznačena steza;90
Jama Srnica;130;delno zahtevna neoznačena pot;30
Jamnikov spodmol;185;lahka neoznačena steza;35
Javor (nad Tolminskimi Ravnami);439;lahka neoznačena steza;80
Javor (nad Tolminskimi Ravnami);1213;delno zahtevna označena pot, lahka neoznačena steza;230
Javor (nad Tolminskimi Ravnami);1188;delno zahtevna označena pot, lahka neoznačena steza;230
Javorca;114;lahka označena pot;20
Javorov vrh (Pokljuka);250;lahka označena pot;90
Javoršček;1157;lahka neoznačena steza, lahka označena pot;180
Javoršček;1025;zahtevna neoznačena steza;180
Jehlc (Špičasta kupa);700;lahka neoznačena steza;120
Jehlc (Špičasta kupa);1000;lahka neoznačena steza;165
Jehlc (Špičasta kupa);1000;lahka neoznačena steza;210
Jerebica;1150;delno zahtevna označena pot;210
Jerebica;1540;zahtevna označena pot;300
Jerebikovec;873;lahka označena pot;140
Jerebikovec;515;lahka neoznačena steza;165
Jerebikovec;952;delno zahtevna neoznačena pot;155
Jerebikovec;525;lahka neoznačena steza;150
Jezerce v dolini Radovne;60;lahka neoznačena steza;90
Jezero Jasna;300;lahka označena pot;135
Jezero Kreda;85;lahka označena pot;35
Jezero Kreda;33;lahka označena pot;15
Jezero Kreda v dolini Radovne;125;lahka neoznačena steza;180
Jezero v Ledvicah;1000;delno zahtevna označena pot;255
Jezero v Ledvicah;1180;zahtevna označena pot;240
Jezero v Ledvicah;855;lahka označena pot;255
Jezero v Lužnici;850;lahka označena pot;180
Jezero v Lužnici;1000;lahka označena pot;220
Jezero v Lužnici;1450;lahka označena pot;285
Jezerski Stog;1100;delno zahtevna neoznačena pot;180
Jezerski Stog;1450;delno zahtevna neoznačena pot;285
Jezerski Stog;1550;lahka označena pot, delno zahtevna neoznačena pot;330
Jezerski Stog;1100;lahka označena pot, delno zahtevna neoznačena pot;300
Jezerski Stog;1115;delno zahtevna neoznačena pot;240
Jezerski Stog;1305;zahtevna označena pot, delno zahtevna neoznačena pot;335
Kal;1355;lahko brezpotje;315
Kamin Široka polica;272;izjemno zahtevna označena pot;100
Kanjavec;1965;lahka označena pot;375
Kanjavec;1600;lahka označena pot;345
Kanjavec;2000;zahtevna označena pot;360
Kanjavec;1950;zahtevna označena pot;375
Kanjavec;1620;lahko brezpotje;345
Kanjavec;1720;lahko brezpotje;375
Kanjavec;1500;lahko brezpotje;360
Kanjavec;1900;zahtevna označena pot;430
Kanjavec;1930;lahka označena pot;430
Kanjavec (Zahodni vrh);1960;lahka označena pot, lahka neoznačena steza;375
Kanjavec (Zahodni vrh);1950;zahtevna označena pot, lahka neoznačena steza;390
Kanjavec (Zahodni vrh);1500;lahko brezpotje;345
Kanjavec (Zahodni vrh);1500;lahko brezpotje;360
Klatnica;450;lahka označena pot;90
Kobala;40;lahka označena pot;20
Kobilja glava;425;lahka označena pot;75
Kobilja glava;385;lahka neoznačena steza;75
Kobla;250;lahka označena pot;45
Kobla;525;lahka označena pot;155
Kobla;750;lahka označena pot;135
Kobla;1015;lahka označena pot;180
Koča na Doliču;1515;lahka označena pot;285
Koča na Doliču;1100;lahka označena pot;300
Koča na Doliču;1300;lahka označena pot;315
Koča na Doliču;1501;zelo zahtevna označena pot;285
Koča na Doliču;1700;zahtevna označena pot;375
Koča na Doliču;1525;lahka označena pot;330
Koča na Doliču;1700;zelo zahtevna označena pot;405
Koča na Doliču;1160;lahka neoznačena steza;330
Koča na Doliču;1505;lahka označena pot;340
Koča na Doliču;1150;lahka označena pot;320
Koča na Gozdu;141;lahka označena pot;45
Koča na Petrovem Brdu;300;lahka označena pot;60
Koča na planini Kuhinja;11;lahka označena pot;3
Koča na Planini pri Jezeru;306;lahka označena pot;60
Koča na Planini pri Jezeru;900;lahka označena pot;165
Koča na Planini pri Jezeru;550;lahka označena pot;150
Koča na Planini pri Jezeru;310;lahka označena pot;60
Koča na Planini pri Jezeru;1000;lahka označena pot;195
Koča na Planini pri Jezeru;980;zahtevna označena pot;200
Koča na planini Razor;165;lahka označena pot;60
Koča na planini Razor;410;lahka označena pot;105
Koča na planini Razor;410;zahtevna označena pot;75
Koča na planini Razor;630;lahka neoznačena steza;165
Koča na planini Razor;640;lahka neoznačena steza, lahka označena pot;210
Koča na planini Razor;1250;lahka neoznačena steza, lahka označena pot;320
Koča na Soriški planini;356;lahka označena pot;75
Koča na Soriški planini;30;lahka označena pot;5
Koča na Soriški planini;776;lahka označena pot;150
Koča na Soriški planini;835;lahka neoznačena steza;165
Koča na Uskovnici;10;lahka označena pot;50
Koča na Uskovnici;571;lahka označena pot;100
Koča na Uskovnici;5;lahka označena pot;20
Koča na Uskovnici;585;lahka označena pot;100
Koča na Uskovnici;600;lahka označena pot;180
Koča na Uskovnici;570;lahka označena pot;120
Koča na Uskovnici;78;lahka označena pot;15
Koča na Vojah;100;lahka označena pot;45
Koča pod Bogatinom;870;lahka označena pot;165
Koča pod Bogatinom;1100;lahka označena pot;285
Koča pod Bogatinom;1130;lahka označena pot;300
Koča pri Peričniku;70;lahka označena pot;45
Koča pri Peričniku;65;lahka označena pot;40
Koča pri Savici;135;lahka označena pot;60
Koča pri Savici;160;lahka označena pot;135
Koča pri Savici;135;lahka označena pot;60
Koča pri Triglavskih jezerih;700;lahka označena pot;195
Koča pri Triglavskih jezerih;1035;zahtevna označena pot;180
Koča pri Triglavskih jezerih;775;delno zahtevna označena pot;195
Koča pri Triglavskih jezerih;1280;lahka označena pot;300
Koča pri Triglavskih jezerih;600;lahka označena pot;200
Koča pri Triglavskih jezerih;1500;delno zahtevna označena pot;300
Koča pri Triglavskih jezerih;700;delno zahtevna označena pot;200
Koča pri Triglavskih jezerih;1385;lahka označena pot;345
Koča v Krnici;275;lahka označena pot;80
Koča v Krnici;165;lahka označena pot;45
Koča v Krnici;165;lahka označena pot;45
Kol;1000;zahtevno brezpotje;285
Kol;965;delno zahtevna označena pot, zahtevno brezpotje;275
Konjc;140;zelo zahtevno brezpotje;60
Konjc;1280;zelo zahtevno brezpotje;265
Konjski vrh;1050;delno zahtevna označena pot, lahko brezpotje;195
Konjski vrh;1475;delno zahtevna označena pot, lahko brezpotje;270
Konjski vrh;1300;delno zahtevna označena pot, lahko brezpotje;250
Konjski vrh;1500;delno zahtevna označena pot, lahko brezpotje;260
Kopica;1150;lahka označena pot, lahko brezpotje;270
Kopica;1650;zahtevna označena pot, lahko brezpotje;300
Kopica;1050;lahka označena pot, lahko brezpotje;275
Korita Mlinarice;20;lahka označena pot;5
Korita Možnice (Nemčlje);100;lahka označena pot;30
Korita Soče pri Kršovcu;-30;lahka označena pot;10
Kosijev dom na Vogarju;454;lahka označena pot;75
Kota 1313;781;lahka označena pot;140
Kotovo sedlo;1026;delno zahtevna označena pot;195
Kotovo sedlo;1026;lahka označena pot;195
Kovačičeva glava;700;lahko brezpotje;150
Kovinarska koča v Krmi;100;lahka označena pot;40
Kovinarska koča v Krmi;300;lahka označena pot;130
Kovinarska koča v Krmi;400;lahka neoznačena steza;300
Kozlov rob;211;lahka označena pot;30
Kozlov rob;196;lahka neoznačena steza;30
Krasji vrh;953;lahka označena pot;180
Krasji vrh;572;lahka označena pot;120
Krasji vrh;572;lahka označena pot;120
Kravja Črna gora;361;lahko brezpotje;60
Kreda;900;lahka neoznačena steza;170
Kreda;950;lahko brezpotje;200
Kredarica;1611;lahka označena pot;305
Kres nad Kočno;230;lahko brezpotje;40
Krevl;1000;lahka neoznačena steza;165
Krevl;280;lahka označena pot;60
Krevl;335;lahka neoznačena steza;60
Krevl;785;lahka označena pot;150
Krevl;1050;lahka označena pot;195
Krevl;800;lahka označena pot;140
Krevl;565;lahka označena pot;170
Krevl;1015;lahka označena pot;175
Kriški rob;1725;zahtevno brezpotje;315
Kriški rob;1530;delno zahtevna označena pot, zahtevno brezpotje;345
Križ;1395;delno zahtevna označena pot;270
Križ;1760;delno zahtevna označena pot;330
Križ;1400;zahtevna označena pot;300
Križ;1490;zelo zahtevna označena pot;285
Križ;1790;zahtevna označena pot;345
Križ;1425;zahtevna neoznačena steza;285
Križ;1575;zelo zahtevna označena pot;320
Krn;1253;lahka označena pot;195
Krn;1575;lahka označena pot;300
Krn;1691;zelo zahtevna označena pot;300
Krn;2050;lahka označena pot;465
Krn;1400;delno zahtevna označena pot;285
Krn;1691;lahka označena pot;300
Krn;1242;lahka označena pot;190
Krn;1950;delno zahtevna označena pot;470
Krn;1585;delno zahtevna označena pot;325
Krn;1950;delno zahtevna označena pot;405
Krn;1970;delno zahtevna označena pot;390
Krnčica;941;delno zahtevna neoznačena pot;180
Krnčica;941;delno zahtevna neoznačena pot;240
Krnsko jezero;750;lahka označena pot;140
Krnsko jezero;1175;lahka označena pot;305
Krsteniški Stog;750;lahka neoznačena steza;135
Krsteniški Stog;1300;lahka neoznačena steza;240
Kser;1325;lahka označena pot;270
Kser;1443;lahko brezpotje;270
Kucelj (Julijske Alpe);1420;lahko brezpotje, delno zahtevna označena pot;285
Kukova špica;1515;zahtevna neoznačena steza;300
Kukova špica;1550;alpinistični vzpon;360
Kumlehova glava;575;zahtevna neoznačena steza;120
Kumlehova glava;860;zahtevna neoznačena steza;165
Kup;255;lahka označena pot;45
Kup;540;lahka označena pot;95
Kurji vrh;1012;lahka neoznačena steza;180
Kurji vrh;940;zahtevna neoznačena steza;180
Lajnar;272;lahka označena pot;40
Lajnar;615;lahka označena pot;100
Lajnar;750;lahka označena pot;120
Lajnar;272;lahka neoznačena steza;45
Lajnar;1041;lahka označena pot;175
Lanževica;1350;lahka označena pot;300
Lanževica;1400;lahka označena pot;300
Lanževica;1300;zahtevno brezpotje;240
Lanževica;1450;lahka označena pot;300
Lanževica;1350;lahka označena pot;300
Lanževica;1303;lahko brezpotje;280
Lengarjeva glava;870;lahka neoznačena steza;210
Lipanski vrh;624;lahka označena pot;105
Lipanski vrh;1044;zahtevna označena pot;165
Lipanski vrh;660;lahka neoznačena steza, delno zahtevna označena pot;125
Lipenšči hrib;100;lahko brezpotje;45
Lisc (Lisec);918;lahka označena pot, lahka neoznačena steza;165
Logje;142;lahka označena pot;25
Lopa;1180;zelo zahtevno brezpotje;240
Lopa;425;zelo zahtevno brezpotje;135
Lopatnik;1262;lahka označena pot;180
Lovčev bivak Pri Koucah;389;lahka označena pot;60
Lovčev bivak Pri Koucah;684;lahka označena pot;115
Lovska koča Bala;602;lahka označena pot;110
Lovska koča Berebica;1016;lahka neoznačena steza;190
Lovska koča Mali Vokel;735;lahka označena pot;180
Lovska koča Mali Vokel;330;lahka neoznačena steza;85
Lovska koča Mali Vokel;750;lahka označena pot;165
Lovska koča Mali Vokel;130;lahka neoznačena steza;50
Lovska koča na Glinu;1035;lahka neoznačena steza;210
Lovska koča na Glinu;530;lahka neoznačena steza;120
Lovska koča na Glinu;450;lahka neoznačena steza;135
Lovska koča na Glinu;465;lahka neoznačena steza;150
Lovska koča na Glinu;560;lahka neoznačena steza;155
Lovska koča Na Utrci;850;lahka neoznačena steza;150
Luknja;750;lahka označena pot;150
Luknja;1110;lahka označena pot;195
Macesnovec;980;zahtevna neoznačena steza;210
Mahavšček;1415;delno zahtevna označena pot;300
Mahavšček;1500;lahka označena pot;300
Mahavšček;1575;lahko brezpotje;300
Mahavšček;1635;delno zahtevna označena pot;375
Mahavšček;1410;delno zahtevna označena pot;300
Mala Boka;140;lahka neoznačena steza;15
Mala Martuljška Ponca;1800;zelo zahtevno brezpotje;390
Mala Mojstrovka;721;zelo zahtevna označena pot;135
Mala Mojstrovka;721;delno zahtevna označena pot;135
Mala Mojstrovka;721;lahka neoznačena steza, zahtevna označena pot;135
Mala Mojstrovka;1500;zelo zahtevna označena pot;285
Mala Mojstrovka;807;zelo zahtevna označena pot;145
Mala Osojnica;211;lahka označena pot;40
Mala Osojnica;211;delno zahtevna označena pot;25
Mala Ponca;996;zahtevna označena pot;165
Mala Ponca;1040;zahtevna neoznačena steza;190
Mala Ponca;1115;zahtevna neoznačena steza;210
Mala Rodica;851;lahko brezpotje;140
Mala Rodica;1355;lahko brezpotje;230
Mala Tičarica;1100;lahka označena pot;210
Mala Tičarica;1418;zahtevna označena pot;240
Mala Tičarica;915;lahka označena pot;215
Mala Tičarica;1000;lahko brezpotje;210
Mala Zelnarica;1250;lahka označena pot;270
Mala Zelnarica;1350;delno zahtevna označena pot;315
Mala Zelnarica;1800;zahtevna označena pot;345
Mala Zelnarica;1700;zahtevna označena pot;360
Mali Draški vrh;900;zahtevna neoznačena steza;165
Mali Draški vrh;785;zahtevna neoznačena steza;155
Mali Draški vrh;800;zahtevna neoznačena steza;155
Mali Draški vrh;815;zahtevna neoznačena steza;155
Mali Draški vrh;860;zahtevna neoznačena steza;215
Mali Draški vrh;1080;zahtevna neoznačena steza;210
Mali Draški vrh;967;zahtevna neoznačena steza;190
Mali Draški vrh;1600;zahtevna neoznačena steza;295
Mali Kanin;600;zelo zahtevna označena pot;165
Mali Ozebnik;1640;zelo zahtevna označena pot, zelo zahtevno brezpotje;300
Mali Raskovec;1000;lahko brezpotje;225
Mali Raskovec;960;lahko brezpotje;210
Mali Raskovec;970;lahko brezpotje;210
Mali Raskovec;1270;lahko brezpotje;270
Mali Šmohor;1239;lahka označena pot;240
Mali Šmohor;1700;lahka označena pot;400
Mali Triglav;1710;zelo zahtevna označena pot;325
Mali Triglav;1710;zelo zahtevna označena pot;335
Mali Triglav;1900;zelo zahtevna označena pot;335
Mali vrh (na Mežakli);719;lahko brezpotje;110
Mali vrh (na Mežakli);748;delno zahtevna neoznačena pot;125
Malo Špičje;1750;zahtevna označena pot, lahka neoznačena steza;360
Malo Špičje;1500;zahtevna neoznačena steza;360
Malo Špičje;1740;lahka označena pot, lahka neoznačena steza;315
Malo Špičje;1715;lahka označena pot, lahka neoznačena steza;315
Mangart;624;zelo zahtevna označena pot;120
Mangart;624;zahtevna označena pot;120
Mangart;1800;izjemno zahtevna označena pot;330
Mangart;2000;zelo zahtevna označena pot;420
Mangart;1595;lahka neoznačena steza, zelo zahtevna označena pot;285
Mangart;1585;zelo zahtevna označena pot;285
Mangart;1585;zahtevna označena pot;285
Mangart;1595;lahka neoznačena steza, zahtevna označena pot;285
Mangartska koča na Mangartskem sedlu;812;lahka označena pot;165
Mangartska koča na Mangartskem sedlu;812;lahka označena pot;140
Mangartska koča na Mangartskem sedlu;845;lahka neoznačena steza;150
Mangartska planina;201;lahka označena pot;35
Marija Snežna v Breginjskem kotu;95;lahka označena pot;25
Matajur;800;lahka označena pot;150
Matajur;1392;lahka označena pot;225
Matajur;322;lahka označena pot;45
Matajur;322;lahka označena pot;55
Matajur;692;lahka označena pot;120
Matajur;400;lahka označena pot;75
Matajur;882;lahka označena pot;150
Matajur;970;lahka označena pot;180
Matajur;692;lahka označena pot;135
Matajur;780;lahka označena pot;150
Matajur;550;lahka označena pot;120
Matajur;1400;lahka označena pot;240
Matajur;850;lahka neoznačena steza;150
Matajurski vrh;1200;delno zahtevna označena pot, lahko brezpotje;230
Matajurski vrh;1565;delno zahtevna označena pot, lahko brezpotje;305
Matajurski vrh;1640;delno zahtevna označena pot, lahko brezpotje;295
Matajurski vrh;1440;delno zahtevna označena pot, lahko brezpotje;285
Meja;700;lahko brezpotje;240
Meja;1725;lahko brezpotje;420
Meja;456;delno zahtevna označena pot, lahko brezpotje;210
Meja;800;zelo zahtevna označena pot;290
Meja;1520;lahko brezpotje;320
Mesnovec;280;lahko brezpotje;60
Mihov dom na Vršiču;250;lahka označena pot;80
Mišelj vrh;1825;zahtevno brezpotje;405
Mišeljski Konec;1815;zahtevno brezpotje;345
Mladinski izobraževalni center v Bavšici;193;lahka označena pot;75
Mlina peč;38;lahka označena pot;15
Mojčin dom na Vitrancu;755;lahka označena pot;135
Mojčin dom na Vitrancu;745;lahka označena pot;130
Mojčin dom na Vitrancu;850;lahka neoznačena steza;150
Mojčin dom na Vitrancu;750;delno zahtevna neoznačena pot, lahka označena pot;140
Mojčin dom na Vitrancu;850;lahko brezpotje, lahka označena pot;155
Morbegna;1930;lahka neoznačena steza;385
Morbegna;1870;zelo zahtevna označena pot, lahka neoznačena steza;370
Morbegna;1700;lahka neoznačena steza;415
Možic;400;lahka označena pot;90
Možic;360;lahka označena pot;75
Možic;329;lahka označena pot;60
Možic;825;lahka označena pot;150
Možic;1100;lahka označena pot;195
Možic;799;lahka označena pot;150
Možic;312;lahka neoznačena steza;60
Možic;1120;lahka označena pot;205
Mrežce;673;lahka označena pot;115
Mrežce;615;lahka označena pot;100
Mrežce;650;delno zahtevna označena pot;110
Mrežce;735;lahka označena pot;160
Mrežce;680;lahka označena pot;120
Mrežce;640;lahka neoznačena steza;120
Mrežce;1065;zahtevna označena pot;170
Mrzli vrh (na Matajurju);498;lahka neoznačena steza;85
Mrzli vrh (na Matajurju);500;lahka označena pot;85
Mrzli vrh nad planino Pretovč;480;lahka označena pot;90
Mrzli vrh nad planino Pretovč;950;lahka označena pot;165
Mrzli vrh nad planino Pretovč;1100;lahka neoznačena steza;210
Muzec - Musc (Mali Muzec);1070;delno zahtevna označena pot;175
Na Glavi;1092;lahka neoznačena steza;205
Na Pečeh;1300;zahtevna neoznačena steza, lahko brezpotje;270
Nizki vrh;938;delno zahtevna označena pot;180
Ogradi;1000;lahka neoznačena steza;165
Ogradi;1050;lahka neoznačena steza;195
Ogradi;1620;lahka neoznačena steza;300
Okrepčevalnica Slap Voje;160;lahka označena pot;75
Okroglež;615;lahka označena pot;115
Okroglež;665;lahka označena pot;175
Okroglež;1065;zahtevna označena pot;175
Orlove glave;160;lahka označena pot;30
Orožnova koča na planini za Liscem;633;lahka označena pot;105
Orožnova koča na planini za Liscem;848;lahka označena pot;140
Orožnova koča na planini za Liscem;633;lahka označena pot;110
Orožnova koča na planini za Liscem;830;lahka označena pot;165
Ožarjeni kamen;460;izjemno zahtevna označena pot;110
Partizanska bolnišnica na Mežakli;470;lahka označena pot;100
Peč (razgledišče);130;lahka označena pot;35
Pihavec;1404;zahtevno brezpotje;270
Pihavec;1430;zahtevna označena pot;300
Pihavec;1770;zahtevna označena pot;315
Pihavec;1769;zahtevno brezpotje;315
Planica pod Krnom;405;lahko brezpotje;80
Planica pod Krnom;395;lahka neoznačena steza;75
Planina Bala;483;lahka označena pot;90
Planina Berebica;685;lahka neoznačena steza;120
Planina Blatce;300;lahka označena pot;55
Planina Blatce;305;lahka neoznačena steza;55
Planina Blato;875;lahka označena pot, lahka neoznačena steza;420
Planina Črča;343;lahka označena pot;60
Planina Dedno Polje;500;lahka označena pot;90
Planina Dedno Polje;450;lahka označena pot;135
Planina Dedno Polje;390;lahka označena pot;135
Planina Dobrenjščica;850;lahka označena pot;165
Planina Dobrenjščica;600;zahtevna označena pot;180
Planina Goričica;636;lahka označena pot;120
Planina Goričica;740;lahka označena pot;180
Planina Govnjač;927;lahka označena pot;180
Planina Ilovec;25;lahka neoznačena steza;10
Planina Jezerce;615;lahka neoznačena steza;120
Planina Jezerce;1120;lahka označena pot;225
Planina Klek;950;lahka označena pot;195
Planina Klek;36;lahka označena pot;10
Planina Konjščica;98;lahka označena pot;30
Planina Konjščica;160;lahka označena pot, lahka neoznačena steza;60
Planina Konjščica;275;lahka označena pot;65
Planina Konjščica;385;lahka označena pot;85
Planina Konjščica;890;lahka označena pot;170
Planina Krnica;300;delno zahtevna označena pot;55
Planina Krnica;620;lahka označena pot;120
Planina Krnica;315;lahka označena pot;75
Planina Krstenica;523;lahka neoznačena steza;90
Planina Krstenica;1100;lahka označena pot;195
Planina Krstenica;1100;lahka neoznačena steza;240
Planina Laška seč;543;lahka označena pot;90
Planina Leskovca;239;lahka označena pot;40
Planina Lom;40;lahka označena pot;20
Planina Lopučnica;1100;lahka označena pot;255
Planina Lopučnica;1215;lahka označena pot;300
Planina Lopučnica;850;delno zahtevna označena pot;230
Planina Lopučnica;750;lahka označena pot;230
Planina Lopučnica;750;lahka označena pot;225
Planina Lopučnica;850;delno zahtevna označena pot;225
Planina Medrja;676;lahka označena pot;110
Planina na Kalu;566;lahka označena pot;90
Planina na Kalu;1340;delno zahtevna označena pot;240
Planina na Kalu;1315;delno zahtevna označena pot;240
Planina na Kalu;365;lahka označena pot;150
Planina na Kalu;830;lahka neoznačena steza, lahka označena pot;255
Planina na Kalu;790;delno zahtevna označena pot;135
Planina na Polju;830;lahka označena pot;170
Planina nad Sočo;900;lahka označena pot;150
Planina Obranica;375;lahka označena pot;75
Planina Obranica;415;lahka neoznačena steza;65
Planina Obranica;375;lahka označena pot;60
Planina Osredki;450;lahka označena pot;75
Planina Osredki;877;lahka označena pot;150
Planina Ovčarija;615;lahka označena pot;135
Planina Ovčarija;475;lahka označena pot;130
Planina Ovčarija;1065;zahtevna označena pot;210
Planina Ovčarija;580;lahka označena pot;140
Planina pod Mišelj vrhom;650;lahka označena pot;225
Planina pod Mišelj vrhom;1100;lahka označena pot;255
Planina pod Mišelj vrhom;715;lahka neoznačena steza;195
Planina pod Mišelj vrhom;670;lahka označena pot;245
Planina pod Mišelj vrhom;815;zahtevna označena pot;255
Planina pod Mišelj vrhom;915;zahtevna označena pot;260
Planina pod Mišelj vrhom;1415;zahtevna označena pot;275
Planina Poljana;285;lahka neoznačena steza;55
Planina Poljana;625;lahka neoznačena steza;195
Planina Poljana;300;lahka neoznačena steza;70
Planina Poljana;395;lahka neoznačena steza;75
Planina Pretovč;275;lahka označena pot;60
Planina Pretovč;730;lahka označena pot;135
Planina Ravne;570;lahka neoznačena steza;135
Planina Rčitno;300;lahka označena pot;60
Planina Rčitno;435;lahka označena pot;120
Planina Rčitno;265;lahka označena pot;60
Planina Rčitno;450;lahka označena pot;105
Planina Sleme;548;lahka označena pot;100
Planina Sleme;1035;lahka označena pot;165
Planina Spodnja Grintovica;600;lahka označena pot;165
Planina Spodnja Grintovica;215;lahka neoznačena steza;105
Planina Suha;839;lahka označena pot;150
Planina Suha;335;lahka označena pot;60
Planina Suha;490;lahka neoznačena steza;190
Planina Suha;475;lahka neoznačena steza;175
Planina Suha;425;lahka neoznačena steza;195
Planina v Lazu;550;lahka označena pot;90
Planina v Lazu;500;lahka označena pot;120
Planina v Plazeh;600;lahka neoznačena steza;165
Planina v Plazeh;568;lahka neoznačena steza;140
Planina v Prodih;316;lahka neoznačena steza;55
Planina Viševnik;485;lahka označena pot;90
Planina Viševnik;350;lahka označena pot;80
Planina Viševnik;972;zahtevna označena pot;180
Planina Viševnik;500;lahka označena pot;100
Planina Vodični vrh;915;lahka označena pot;165
Planina Za Črno goro;615;lahka označena pot;100
Planina Za Črno goro;565;lahka označena pot;200
Planina Za Črno goro;830;lahka označena pot;135
Planina Za Črno goro;285;lahka označena pot;90
Planina Za Črno goro;800;lahka označena pot;180
Planina Za Črno goro;1050;lahka označena pot;225
Planina za Jamo;455;lahka označena pot;90
Planina za Migovcem;1030;lahka neoznačena steza;180
Planina za Migovcem;500;lahka označena pot;195
Planina za Migovcem;1150;lahka označena pot;255
Planina za Migovcem;1310;lahka označena pot;270
Planina za Migovcem;1400;lahka označena pot;300
Planina za Šavnikom;30;lahka neoznačena steza;15
Planina Za skalo;765;lahka označena pot;135
Planina Zadnji Vogel;843;lahka označena pot;150
Planina Zadnji Vogel;5;lahka označena pot;30
Planina Zagreben;770;delno zahtevna neoznačena pot;150
Planina Zajamniki;50;lahka označena pot;80
Planina Zajamniki;270;lahka označena pot;90
Planina Zajamniki;100;lahka označena pot;120
Planina Zajavornik;50;lahka označena pot;40
Planina Zapotok;440;zahtevna označena pot;100
Planina Zaprikraj;458;lahka označena pot;75
Planina Zgornja Grintovica;650;lahka neoznačena steza;180
Planina Zgornja Grintovica;215;lahka neoznačena steza;90
Planina Zgornja Krma;770;lahka označena pot;150
Planina Zgornji Kozjek;55;lahka neoznačena steza;20
Planinska koča Merjasec;1015;lahka označena pot;180
Planinska koča Merjasec;435;lahka označena pot;75
Planinska koča Merjasec;965;lahka označena pot;165
Planinsko zavetišče Slatna;170;lahka neoznačena steza;40
Planja;1825;zahtevna označena pot;345
Planja;1200;zahtevna označena pot;345
Planja;1600;zahtevna označena pot;375
Planja;1850;zelo zahtevna označena pot;415
Planja (nad Mangartsko planino);258;delno zahtevna neoznačena pot;45
Plaski Vogel;1680;zahtevno brezpotje;345
Plesišče;443;lahka označena pot, lahka neoznačena steza;75
Plešivec;790;delno zahtevna neoznačena pot;120
Plešivec (Loška stena);1404;zelo zahtevna označena pot, delno zahtevna neoznačena pot;225
Plešivec (Loška stena);1486;delno zahtevna neoznačena pot;270
Počitniški dom v Možnici;195;lahka označena pot;50
Podrta gora;755;zahtevno brezpotje;280
Podrta gora;1408;zahtevno brezpotje;420
Podrta gora;735;zelo zahtevna označena pot, zahtevno brezpotje;290
Pogačnikov dom na Kriških podih;1400;lahka označena pot;240
Pogačnikov dom na Kriških podih;1200;delno zahtevna označena pot;270
Pogačnikov dom na Kriških podih;1400;zelo zahtevna označena pot;310
Pogačnikov dom na Kriških podih;1550;zelo zahtevna označena pot;345
Poglejska cerkev;30;lahka označena pot;5
Pokljuška soteska (luknja);170;lahka označena pot;60
Police;244;lahka neoznačena steza;45
Poljanska baba;229;lahka označena pot;25
Poljanski vrh;1100;delno zahtevna označena pot, lahko brezpotje;210
Poljanski vrh;1500;delno zahtevna označena pot;285
Poljanski vrh;1340;delno zahtevna označena pot, lahko brezpotje;265
Poljanski vrh;1540;delno zahtevna označena pot, lahko brezpotje;275
Poprovec;1950;zahtevna označena pot, lahko brezpotje;410
Poprovec;1525;lahko brezpotje;380
Poprovec;1525;lahko brezpotje;395
Poštarski dom na Vršiču;77;lahka označena pot;20
Poštarski dom na Vršiču;462;lahka neoznačena steza;80
Poštarski dom na Vršiču;802;lahka označena pot;150
Poštarski dom na Vršiču;175;lahka označena pot;30
Poštarski dom na Vršiču;308;lahka označena pot;50
Poštarski dom na Vršiču;185;lahka označena pot;35
Požar;600;delno zahtevna neoznačena pot;120
Požar;950;delno zahtevna neoznačena pot;240
Požgana Mlinarica;927;lahko brezpotje;165
Požgana Mlinarica;1050;zahtevna neoznačena steza;240
Požgana Mlinarica;1450;zahtevna neoznačena steza;375
Prednje Robičje;330;lahka neoznačena steza;60
Prednje Robičje;416;lahka neoznačena steza;70
Prestreljenik;297;delno zahtevna označena pot;45
Prestreljenik;1350;zahtevna označena pot;255
