Ime;Gorovje;Višina;Število_poti;Vrsta_cilja
Debeli vrh nad Lipanco;Julijske Alpe;1962;5;['vrh']
Dobra gora;Julijske Alpe;620;1;['vrh']
Dolina Škratov;Julijske Alpe;700;1;['']
Dolkova špica;Julijske Alpe;2591;5;['vrh']
Dom na Komni;Julijske Alpe;1520;12;['koča']
Dom Petra Skalarja na Kaninu;Julijske Alpe;2260;3;['koča']
Dom Planika pod Triglavom;Julijske Alpe;2401;8;['koča']
Dom pri Krnskih jezerih;Julijske Alpe;1385;2;['koča', 'bivak']
Dom v Tamarju;Julijske Alpe;1108;3;['koča', 'planina', 'cerkev']
Dom Valentina Staniča pod Triglavom;Julijske Alpe;2332;10;['koča', 'bivak']
Dovški križ;Julijske Alpe;2542;2;['vrh']
Draški rob;Julijske Alpe;1979;2;['vrh']
Dravh;Julijske Alpe;1547;3;['vrh']
Drobeče Sleme;Julijske Alpe;2029;3;['vrh']
Erjavčeva koča na Vršiču;Julijske Alpe;1525;2;['koča']
Eva;Julijske Alpe;2019;1;['vrh']
Frčkova planina;Julijske Alpe;1335;1;['planina']
Gabrovec (Veliki Muzec);Julijske Alpe;1630;1;['vrh']
Galetovec;Julijske Alpe;1265;11;['vrh']
Glava v Zaplanji;Julijske Alpe;2556;4;['vrh']
Glava za Bajto;Julijske Alpe;2131;1;['vrh']
Glave;Julijske Alpe;1760;2;['vrh']
Gogalova lipa;Julijske Alpe;725;2;['']
Goličica;Julijske Alpe;2101;1;['vrh']
Gomiščkovo zavetišče na Krnu;Julijske Alpe;2182;5;['koča', 'bivak']
Gorejca;Julijske Alpe;680;1;['slap']
Gozdarska koča Mali Vokel;Julijske Alpe;1145;3;['']
Gradišče (Bodešče);Julijske Alpe;499;2;['vrh']
Gradovec;Julijske Alpe;1692;4;['vrh']
Grajska planina (Ribšca);Julijske Alpe;1210;4;['jezero', 'planina']
Grančišče;Julijske Alpe;844;4;['vrh']
Gregorčičev slap;Julijske Alpe;390;1;['slap']
Grušnica;Julijske Alpe;1570;6;['vrh']
Gubno;Julijske Alpe;2403;3;['vrh']
Hom pri Bledu;Julijske Alpe;834;3;['vrh']
Hotunjski vrh;Julijske Alpe;1107;6;['vrh']
Humčič;Julijske Alpe;810;2;['']
Idrska planina;Julijske Alpe;1250;2;['planina']
Iglica;Julijske Alpe;550;1;['vrh', 'slap']
Ingotova koča na planini Jesenje;Julijske Alpe;930;2;['koča', 'planina', 'cerkev']
Italijanska vojaška kapela na Planici;Julijske Alpe;1220;2;['cerkev']
Izvir Bele;Julijske Alpe;665;1;['']
Izvir Bohinjske Bistrice;Julijske Alpe;630;1;['slap']
Izvir Boke;Julijske Alpe;850;1;['']
Izvir Glijuna;Julijske Alpe;450;1;['']
Izvir Lipnika;Julijske Alpe;660;1;['']
Izvir Nadiže;Julijske Alpe;1232;1;['slap']
Izvir Soče;Julijske Alpe;990;1;['slap']
Izvir Tolminke;Julijske Alpe;695;1;['planina']
Jalovec;Julijske Alpe;2645;10;['vrh']
Jalovnik;Julijske Alpe;1452;2;['vrh']
Jama Srnica;Julijske Alpe;550;1;['']
Jamnikov spodmol;Julijske Alpe;720;1;['']
Javor (nad Tolminskimi Ravnami);Julijske Alpe;1363;3;['vrh']
Javorca;Julijske Alpe;571;1;['planina', 'cerkev']
Javorov vrh (Pokljuka);Julijske Alpe;1482;1;['vrh']
Javoršček;Julijske Alpe;1557;2;['vrh']
Jehlc (Špičasta kupa);Julijske Alpe;1662;3;['vrh']
Jerebica;Julijske Alpe;2126;2;['vrh']
Jerebikovec;Julijske Alpe;1593;4;['vrh', 'bivak']
Jezerce v dolini Radovne;Julijske Alpe;657;1;['jezero']
Jezero Jasna;Julijske Alpe;830;1;['koča', 'jezero']
Jezero Kreda;Julijske Alpe;715;2;['jezero']
Jezero Kreda v dolini Radovne;Julijske Alpe;674;1;['jezero']
Jezero v Ledvicah;Julijske Alpe;1831;3;['jezero']
Jezero v Lužnici;Julijske Alpe;1801;3;['jezero']
Jezerski Stog;Julijske Alpe;2040;6;['vrh']
Kal;Julijske Alpe;2001;1;['vrh']
Kamin Široka polica;Julijske Alpe;780;1;['']
Kanjavec;Julijske Alpe;2569;9;['vrh']
Kanjavec (Zahodni vrh);Julijske Alpe;2569;4;['vrh']
Klatnica;Julijske Alpe;1000;1;['']
Kobala;Julijske Alpe;1080;1;['vrh']
Kobilja glava;Julijske Alpe;1475;2;['vrh']
Kobla;Julijske Alpe;1498;4;['vrh']
Koča na Doliču;Julijske Alpe;2151;10;['koča', 'sedlo']
Koča na Gozdu;Julijske Alpe;1226;1;['koča']
Koča na Petrovem Brdu;Julijske Alpe;804;1;['koča', 'sedlo']
Koča na planini Kuhinja;Julijske Alpe;1002;1;['koča', 'planina']
Koča na Planini pri Jezeru;Julijske Alpe;1453;6;['koča', 'jezero', 'bivak', 'planina']
Koča na planini Razor;Julijske Alpe;1315;6;['koča', 'bivak', 'planina']
Koča na Soriški planini;Julijske Alpe;1306;4;['koča', 'planina']
Koča na Uskovnici;Julijske Alpe;1154;7;['koča', 'planina', 'cerkev']
Koča na Vojah;Julijske Alpe;690;1;['koča']
Koča pod Bogatinom;Julijske Alpe;1513;3;['koča', 'planina']
Koča pri Peričniku;Julijske Alpe;750;2;['koča']
Koča pri Savici;Julijske Alpe;653;3;['koča']
Koča pri Triglavskih jezerih;Julijske Alpe;1685;8;['koča', 'jezero', 'bivak']
Koča v Krnici;Julijske Alpe;1113;3;['koča']
Kol;Julijske Alpe;2350;2;['vrh']
Konjc;Julijske Alpe;2289;2;['vrh']
Konjski vrh;Julijske Alpe;1879;4;['vrh']
Kopica;Julijske Alpe;2190;3;['vrh']
Korita Mlinarice;Julijske Alpe;770;1;['slap']
Korita Možnice (Nemčlje);Julijske Alpe;580;1;['slap']
Korita Soče pri Kršovcu;Julijske Alpe;390;1;['']
Kosijev dom na Vogarju;Julijske Alpe;1054;1;['koča', 'planina']
Kota 1313;Julijske Alpe;1313;1;['vrh']
Kotovo sedlo;Julijske Alpe;2134;2;['sedlo']
Kovačičeva glava;Julijske Alpe;1827;1;['vrh']
Kovinarska koča v Krmi;Julijske Alpe;870;3;['koča', 'planina']
Kozlov rob;Julijske Alpe;426;2;['vrh']
Krasji vrh;Julijske Alpe;1773;3;['vrh']
Kravja Črna gora;Julijske Alpe;1541;1;['vrh']
Kreda;Julijske Alpe;2025;2;['vrh']
Kredarica;Julijske Alpe;2541;1;['vrh']
Kres nad Kočno;Julijske Alpe;890;1;['vrh']
Krevl;Julijske Alpe;1515;8;['vrh']
Kriški rob;Julijske Alpe;2366;2;['vrh']
Križ;Julijske Alpe;2410;8;['vrh']
Krn;Julijske Alpe;2244;12;['vrh']
Krnčica;Julijske Alpe;2142;2;['vrh']
Krnsko jezero;Julijske Alpe;1391;2;['jezero', 'planina']
Krsteniški Stog;Julijske Alpe;1879;2;['vrh']
Kser;Julijske Alpe;1900;2;['vrh']
Kucelj (Julijske Alpe);Julijske Alpe;2372;1;['vrh']
Kukova špica;Julijske Alpe;2427;2;['vrh']
Kumlehova glava;Julijske Alpe;1788;2;['vrh']
Kup;Julijske Alpe;1046;2;['vrh']
Kurji vrh;Julijske Alpe;1762;2;['vrh']
Lajnar;Julijske Alpe;1549;5;['vrh']
Lanževica;Julijske Alpe;2003;6;['vrh']
Lengarjeva glava;Julijske Alpe;1498;1;['vrh']
Lipanski vrh;Julijske Alpe;1974;3;['vrh']
Lipenšči hrib;Julijske Alpe;1375;1;['vrh']
Lisc (Lisec);Julijske Alpe;1653;1;['vrh']
Logje;Julijske Alpe;840;1;['planina']
Lopa;Julijske Alpe;2406;2;['vrh']
Lopatnik;Julijske Alpe;2012;1;['vrh']
Lovčev bivak Pri Koucah;Julijske Alpe;1192;2;['']
Lovska koča Bala;Julijske Alpe;1300;1;['']
Lovska koča Berebica;Julijske Alpe;1590;1;['planina', 'sedlo']
Lovska koča Mali Vokel;Julijske Alpe;1193;4;['']
Lovska koča na Glinu;Julijske Alpe;1527;5;['vrh']
Lovska koča Na Utrci;Julijske Alpe;1500;1;['']
Luknja;Julijske Alpe;1758;2;['sedlo']
Macesnovec;Julijske Alpe;1926;1;['vrh']
Mahavšček;Julijske Alpe;2008;5;['vrh']
Mala Boka;Julijske Alpe;440;1;['']
Mala Martuljška Ponca;Julijske Alpe;2501;1;['vrh']
Mala Mojstrovka;Julijske Alpe;2332;5;['vrh']
Mala Osojnica;Julijske Alpe;691;2;['vrh']
Mala Ponca;Julijske Alpe;1925;3;['vrh']
Mala Rodica;Julijske Alpe;1901;2;['vrh']
Mala Tičarica;Julijske Alpe;2071;4;['vrh']
Mala Zelnarica;Julijske Alpe;2310;4;['vrh']
Mali Draški vrh;Julijske Alpe;2132;8;['vrh']
Mali Kanin;Julijske Alpe;2571;1;['vrh']
Mali Ozebnik;Julijske Alpe;2324;1;['vrh']
Mali Raskovec;Julijske Alpe;1946;4;['vrh']
Mali Šmohor;Julijske Alpe;1939;2;['vrh']
Mali Triglav;Julijske Alpe;2725;3;['vrh']
Mali vrh (na Mežakli);Julijske Alpe;1389;2;['vrh']
Malo Špičje;Julijske Alpe;2312;4;['vrh']
Mangart;Julijske Alpe;2679;8;['vrh']
Mangartska koča na Mangartskem sedlu;Julijske Alpe;1906;3;['koča']
Mangartska planina;Julijske Alpe;1295;1;['planina']
Marija Snežna v Breginjskem kotu;Julijske Alpe;645;1;['vrh', 'cerkev']
Matajur;Julijske Alpe;1642;13;['vrh', 'cerkev']
Matajurski vrh;Julijske Alpe;1936;4;['vrh']
Meja;Julijske Alpe;1996;5;['vrh']
Mesnovec;Julijske Alpe;1538;1;['vrh']
Mihov dom na Vršiču;Julijske Alpe;1085;1;['koča']
Mišelj vrh;Julijske Alpe;2350;1;['vrh']
Mišeljski Konec;Julijske Alpe;2464;1;['vrh']
Mladinski izobraževalni center v Bavšici;Julijske Alpe;725;1;['planina']
Mlina peč;Julijske Alpe;506;1;['vrh']
Mojčin dom na Vitrancu;Julijske Alpe;1555;5;['koča']
Morbegna;Julijske Alpe;2520;3;['']
Možic;Julijske Alpe;1602;8;['vrh']
Mrežce;Julijske Alpe;1965;7;['vrh']
Mrzli vrh (na Matajurju);Julijske Alpe;1358;2;['vrh']
Mrzli vrh nad planino Pretovč;Julijske Alpe;1359;3;['vrh']
Muzec - Musc (Mali Muzec);Julijske Alpe;1612;1;['vrh']
Na Glavi;Julijske Alpe;1666;1;['vrh']
Na Pečeh;Julijske Alpe;2039;1;['vrh']
Nizki vrh;Julijske Alpe;1488;1;['vrh']
Ogradi;Julijske Alpe;2087;3;['vrh']
Okrepčevalnica Slap Voje;Julijske Alpe;745;1;['koča']
Okroglež;Julijske Alpe;1965;3;['vrh']
Orlove glave;Julijske Alpe;1682;1;['vrh']
Orožnova koča na planini za Liscem;Julijske Alpe;1346;4;['koča', 'planina']
Ožarjeni kamen;Julijske Alpe;960;1;['']
Partizanska bolnišnica na Mežakli;Julijske Alpe;1050;1;['']
Peč (razgledišče);Julijske Alpe;650;1;['vrh']
Pihavec;Julijske Alpe;2419;4;['vrh']
Planica pod Krnom;Julijske Alpe;1376;2;['vrh']
Planina Bala;Julijske Alpe;1181;1;['planina']
Planina Berebica;Julijske Alpe;1248;1;['planina']
Planina Blatce;Julijske Alpe;888;2;['planina']
Planina Blato;Julijske Alpe;1147;1;['planina']
Planina Črča;Julijske Alpe;800;1;['planina']
Planina Dedno Polje;Julijske Alpe;1560;3;['planina']
Planina Dobrenjščica;Julijske Alpe;1304;2;['planina']
Planina Goričica;Julijske Alpe;1336;2;['planina']
Planina Govnjač;Julijske Alpe;1480;1;['planina']
Planina Ilovec;Julijske Alpe;1170;1;['planina']
Planina Jezerce;Julijske Alpe;1720;2;['jezero', 'planina']
Planina Klek;Julijske Alpe;1556;2;['planina']
Planina Konjščica;Julijske Alpe;1438;5;['koča', 'planina']
Planina Krnica;Julijske Alpe;1252;3;['planina']
Planina Krstenica;Julijske Alpe;1670;3;['planina']
Planina Laška seč;Julijske Alpe;1000;1;['planina']
Planina Leskovca;Julijske Alpe;1230;1;['planina']
Planina Lom;Julijske Alpe;1090;1;['planina', 'sedlo']
Planina Lopučnica;Julijske Alpe;1558;6;['planina']
Planina Medrja;Julijske Alpe;1133;1;['planina']
Planina na Kalu;Julijske Alpe;1490;7;['bivak', 'planina']
Planina na Polju;Julijske Alpe;1530;1;['planina']
Planina nad Sočo;Julijske Alpe;1400;1;['planina']
Planina Obranica;Julijske Alpe;1035;3;['koča', 'planina']
Planina Osredki;Julijske Alpe;1400;2;['bivak', 'planina']
Planina Ovčarija;Julijske Alpe;1660;4;['planina']
Planina pod Mišelj vrhom;Julijske Alpe;1645;7;['jezero', 'planina']
Planina Poljana;Julijske Alpe;1466;4;['planina']
Planina Pretovč;Julijske Alpe;1160;2;['planina', 'sedlo']
Planina Ravne;Julijske Alpe;956;1;['planina']
Planina Rčitno;Julijske Alpe;900;4;['planina']
Planina Sleme;Julijske Alpe;1448;2;['planina', 'sedlo']
Planina Spodnja Grintovica;Julijske Alpe;1175;2;['planina']
Planina Suha;Julijske Alpe;1385;5;['planina']
Planina v Lazu;Julijske Alpe;1560;2;['planina']
Planina v Plazeh;Julijske Alpe;1548;2;['planina', 'sedlo']
Planina v Prodih;Julijske Alpe;1070;1;['planina']
Planina Viševnik;Julijske Alpe;1625;4;['koča', 'planina']
Planina Vodični vrh;Julijske Alpe;1486;1;['planina']
Planina Za Črno goro;Julijske Alpe;1340;6;['planina']
Planina za Jamo;Julijske Alpe;1005;1;['planina']
Planina za Migovcem;Julijske Alpe;1600;5;['planina']
Planina za Šavnikom;Julijske Alpe;1320;1;['bivak', 'planina']
Planina Za skalo;Julijske Alpe;1510;1;['planina']
Planina Zadnji Vogel;Julijske Alpe;1413;2;['planina']
Planina Zagreben;Julijske Alpe;1240;1;['planina']
Planina Zajamniki;Julijske Alpe;1280;3;['koča', 'planina']
Planina Zajavornik;Julijske Alpe;1292;1;['planina']
Planina Zapotok;Julijske Alpe;1385;1;['planina']
Planina Zaprikraj;Julijske Alpe;1208;1;['planina']
Planina Zgornja Grintovica;Julijske Alpe;1250;2;['planina']
Planina Zgornja Krma;Julijske Alpe;1720;1;['planina']
Planina Zgornji Kozjek;Julijske Alpe;1230;1;['planina']
Planinska koča Merjasec;Julijske Alpe;1535;3;['koča']
Planinsko zavetišče Slatna;Julijske Alpe;1023;1;['koča']
Planja;Julijske Alpe;2453;4;['vrh']
Planja (nad Mangartsko planino);Julijske Alpe;1553;1;['vrh']
Plaski Vogel;Julijske Alpe;2348;1;['vrh']
Plesišče;Julijske Alpe;1790;1;['vrh']
Plešivec;Julijske Alpe;1962;1;['vrh']
Plešivec (Loška stena);Julijske Alpe;2184;2;['vrh']
Počitniški dom v Možnici;Julijske Alpe;793;1;['koča', 'bivak']
Podrta gora;Julijske Alpe;2061;3;['vrh']
Pogačnikov dom na Kriških podih;Julijske Alpe;2050;4;['vrh', 'koča', 'bivak']
Poglejska cerkev;Julijske Alpe;630;1;['']
Pokljuška soteska (luknja);Julijske Alpe;830;1;['']
Police;Julijske Alpe;1184;1;['vrh']
Poljanska baba;Julijske Alpe;830;1;['vrh']
Poljanski vrh;Julijske Alpe;1897;4;['vrh']
Poprovec;Julijske Alpe;2496;3;['vrh']
Poštarski dom na Vršiču;Julijske Alpe;1688;6;['koča']
Požar;Julijske Alpe;1543;2;['vrh']
Požgana Mlinarica;Julijske Alpe;1868;3;['vrh']
Prednje Robičje;Julijske Alpe;1941;2;['vrh']
Prestreljenik;Julijske Alpe;2499;7;['vrh']
Prestreljeniško okno;Julijske Alpe;2391;3;['']
Prevalski Stog;Julijske Alpe;2075;5;['vrh']
Pri Banderi;Julijske Alpe;1974;1;['vrh']
Pri treh macesnih;Julijske Alpe;1810;1;['']
Prisank / Prisojnik;Julijske Alpe;2547;12;['vrh']
Pršivec;Julijske Alpe;1761;7;['vrh']
Prvi Vogel;Julijske Alpe;2181;2;['vrh']
Raskovec;Julijske Alpe;1967;6;['vrh']
Razor;Julijske Alpe;2601;5;['vrh']
Rdeči rob;Julijske Alpe;1913;3;['vrh']
Rečiška planina;Julijske Alpe;1265;4;['planina']
Ribenska gora;Julijske Alpe;588;1;['vrh']
Rigeljc;Julijske Alpe;1768;1;['vrh']
Rigljica;Julijske Alpe;2074;1;['vrh']
Risnati rob (Polevec);Julijske Alpe;1438;2;['vrh']
Rjavina;Julijske Alpe;2532;9;['vrh']
Rjavo jezero;Julijske Alpe;2006;4;['jezero']
Rodica;Julijske Alpe;1966;9;['vrh']
Rogljica;Julijske Alpe;2547;1;['vrh']
Rombon;Julijske Alpe;2208;5;['vrh']
Rudnica;Julijske Alpe;946;8;['vrh']
Ruska kapelica;Julijske Alpe;1130;1;['cerkev']
Rušnata glava;Julijske Alpe;1899;2;['vrh']
Rušnata Mlinarica;Julijske Alpe;1777;2;['vrh']
Rušnati vrh;Julijske Alpe;1915;3;['vrh']
Rušni vrh;Julijske Alpe;1786;10;['vrh']
Rutarski Vršič;Julijske Alpe;1699;2;['vrh']
Rž;Julijske Alpe;2538;4;['vrh']
Šavnik;Julijske Alpe;1574;6;['vrh']
Šija;Julijske Alpe;1880;5;['vrh']
Široka peč;Julijske Alpe;2497;1;['vrh']
Šitna glava;Julijske Alpe;2087;1;['vrh']
Škednjovec;Julijske Alpe;2309;2;['vrh']
Škraplja;Julijske Alpe;1794;1;['vrh']
Škrbina (Mežakla);Julijske Alpe;1210;2;['vrh']
Škrlatica;Julijske Alpe;2740;5;['vrh']
Skutnik /Monte Guarda;Julijske Alpe;1721;1;['vrh']
Skutnik/Torre Guarda;Julijske Alpe;1860;1;['vrh']
Slap Beri;Julijske Alpe;454;1;['slap']
Slap Boka;Julijske Alpe;680;2;['slap']
Slap Mali Kozjak;Julijske Alpe;230;1;['slap']
Slap Mostnice;Julijske Alpe;773;1;['slap']
Slap Parabola;Julijske Alpe;700;1;['slap', 'jezero']
Slap Peričnik - spodnji slap;Julijske Alpe;800;3;['slap']
Slap Peričnik - zgornji slap;Julijske Alpe;850;1;['slap']
Slap Savica;Julijske Alpe;794;1;['slap', 'jezero']
Slap Slatenik;Julijske Alpe;750;1;['slap']
Slap Sopota (Soupat);Julijske Alpe;400;1;['slap']
Slap Suha;Julijske Alpe;950;1;['slap']
Slap Šum v Blejskem Vintgarju;Julijske Alpe;520;1;['slap']
Slap Veliki Kozjak;Julijske Alpe;250;1;['slap', 'jezero']
Slap Virje;Julijske Alpe;400;1;['slap', 'jezero']
Slapovi v Kotu;Julijske Alpe;1050;1;['slap']
Slatna;Julijske Alpe;2077;3;['vrh']
Slatnik (jugovzhodni vrh);Julijske Alpe;1597;5;['vrh']
Slatnik (severozahodni vrh);Julijske Alpe;1609;5;['vrh']
Sleme;Julijske Alpe;2077;3;['vrh']
Slemenova špica;Julijske Alpe;1911;6;['vrh', 'planina']
Šmarjetna glava;Julijske Alpe;2358;4;['vrh']
Šmihelovec;Julijske Alpe;2118;2;['vrh']
Snežna jama na Mežakli;Julijske Alpe;1130;1;['']
Sovna glava;Julijske Alpe;1750;5;['vrh']
Špik;Julijske Alpe;2472;5;['vrh']
Šplevta;Julijske Alpe;2272;2;['']
Šplevta (Indijanec);Julijske Alpe;2382;2;['vrh']
Spodnja Vrbanova špica;Julijske Alpe;2299;1;['vrh']
Spodnje Kriško jezero;Julijske Alpe;1880;1;['jezero']
Spodnji Goreljek (Pokljuka);Julijske Alpe;1222;1;['planina']
Spodnji Martuljkov slap;Julijske Alpe;850;1;['slap']
Spodnji Rokav;Julijske Alpe;2500;1;['vrh']
Spodnji Stenar;Julijske Alpe;2356;1;['vrh']
Spominsko obeležje Aleš Kunaver;Julijske Alpe;660;1;['']
Srednja Ponca;Julijske Alpe;2228;2;['vrh']
Srednji Selišnik;Julijske Alpe;1890;1;['vrh']
Srednji Vogel;Julijske Alpe;2226;2;['vrh']
Srednji vrh (na Matajurju);Julijske Alpe;1320;1;['vrh']
Srednji vrh (nad jezerom v Lužnici);Julijske Alpe;2032;3;['vrh']
Stadorski Orliči;Julijske Alpe;1782;1;['vrh']
Stara koča na Kaninu;Julijske Alpe;1814;1;['']
Stenar;Julijske Alpe;2501;5;['vrh']
Stol (Julijske Alpe);Julijske Alpe;1673;4;['vrh']
Straža;Julijske Alpe;646;1;['vrh']
Strug;Julijske Alpe;2265;1;['vrh']
Studor;Julijske Alpe;1002;3;['vrh', 'jezero', 'planina']
Studorski preval;Julijske Alpe;1892;1;['sedlo']
Suha Rodica (Novi vrh);Julijske Alpe;1944;4;['vrh']
Suhi vrh;Julijske Alpe;2109;1;['vrh']
Sv. Peter in Pavel (Perati);Julijske Alpe;812;1;['cerkev']
Sveta Katarina na Homu;Julijske Alpe;634;2;['cerkev']
Sveta Marjeta pod Stolom;Julijske Alpe;973;1;['cerkev']
Sveti Janez Krstnik (Ribčev Laz);Julijske Alpe;532;1;['jezero', 'cerkev']
Sveti Lenart (Bača pri Podbrdu);Julijske Alpe;751;1;['cerkev']
Sveti Lenart (Bodešče);Julijske Alpe;485;2;['cerkev']
Svinjak;Julijske Alpe;1653;1;['vrh']
Svinska planina;Julijske Alpe;1214;1;['planina']
Teme;Julijske Alpe;2136;1;['vrh']
Teme (Hribarice);Julijske Alpe;2495;2;['vrh']
Tičarjev dom na Vršiču;Julijske Alpe;1618;3;['koča']
Tolminski Kuk;Julijske Alpe;2085;11;['vrh']
Tolminski Migovec;Julijske Alpe;1868;1;['vrh']
Tonkina koča na Vršiču;Julijske Alpe;1380;1;['koča']
Tonovcov grad pri Kobaridu;Julijske Alpe;500;1;['vrh']
Tosc;Julijske Alpe;2275;6;['vrh']
Travnik;Julijske Alpe;2252;1;['vrh']
Travnik (pri Mojstrovkah);Julijske Alpe;2379;2;['vrh']
Trentski Pelc;Julijske Alpe;2116;1;['vrh']
Triglav;Julijske Alpe;2864;28;['vrh', 'bivak']
Triglavski dom na Kredarici;Julijske Alpe;2515;9;['vrh', 'koča', 'cerkev']
Turn (nad Bohinjsko Belo);Julijske Alpe;1249;5;['vrh']
Velika Baba;Julijske Alpe;2016;4;['vrh']
Velika Baba (Kanin);Julijske Alpe;2148;1;['vrh']
Velika Črnelska špica;Julijske Alpe;2332;3;['vrh']
Velika Glava;Julijske Alpe;1883;2;['vrh']
Velika korita Soče;Julijske Alpe;480;1;['']
Velika Martuljška Ponca;Julijske Alpe;2602;1;['vrh']
Velika Mojstrovka;Julijske Alpe;2366;1;['vrh']
Velika Montura;Julijske Alpe;1958;2;['vrh']
Velika Tičarica;Julijske Alpe;2091;3;['vrh']
Velika Zelnarica;Julijske Alpe;2320;4;['vrh']
Veliki Babanski Skedenj;Julijske Alpe;2121;1;['vrh']
Veliki Draški vrh;Julijske Alpe;2243;10;['vrh']
Veliki Lemež;Julijske Alpe;2042;2;['vrh']
Veliki Oltar;Julijske Alpe;2621;2;['vrh']
Veliki Ozebnik;Julijske Alpe;2480;4;['vrh']
Veliki Pršivec;Julijske Alpe;2056;1;['vrh']
Veliki Selišnik;Julijske Alpe;1952;1;['vrh']
Veliki Šmohor;Julijske Alpe;1944;2;['vrh']
Veliki vrh (Polovnik);Julijske Alpe;1768;1;['']
Veliko Špičje;Julijske Alpe;2398;7;['vrh']
Velo polje;Julijske Alpe;1680;6;['planina']
Vernar;Julijske Alpe;2225;7;['vrh']
Vevnica;Julijske Alpe;2342;1;['vrh']
Viševnik;Julijske Alpe;2050;21;['vrh']
Visoka glava;Julijske Alpe;1822;1;['vrh']
Visoka glava (na Matajurju);Julijske Alpe;1540;1;['vrh']
Visoka peč;Julijske Alpe;1749;4;['vrh']
Visoka Ponca;Julijske Alpe;2274;3;['vrh']
Visoka Vrbanova špica;Julijske Alpe;2408;6;['vrh']
Visoki Kanin;Julijske Alpe;2587;5;['vrh']
Visoki Mavrinc;Julijske Alpe;1562;2;['vrh']
Visoki Orlov rob;Julijske Alpe;1800;2;['vrh']
Visoki Rokav;Julijske Alpe;2646;2;['vrh']
Vodnikov dom na Velem polju;Julijske Alpe;1817;8;['koča', 'bivak']
Vodnikov razglednik;Julijske Alpe;1017;2;['vrh']
Vodnikov Vršac (Vršac nad Zadnjico);Julijske Alpe;2194;5;['vrh']
Vogel;Julijske Alpe;1922;19;['vrh']
Vogel (nad Lepeno);Julijske Alpe;1980;2;['vrh']
Vošni vrh;Julijske Alpe;1621;1;['vrh']
Vratni vrh;Julijske Alpe;1983;1;['vrh']
Vrh Bače;Julijske Alpe;1273;3;['sedlo']
Vrh Dlani;Julijske Alpe;1852;1;['vrh']
Vrh Hribaric;Julijske Alpe;2388;4;['vrh']
Vrh Krnic;Julijske Alpe;1896;8;['vrh']
Vrh Laške Planje;Julijske Alpe;2448;1;['vrh']
Vrh Leh;Julijske Alpe;1958;1;['vrh']
Vrh nad Peski;Julijske Alpe;2176;6;['vrh']
Vrh nad Škrbino;Julijske Alpe;2054;12;['vrh']
Vrh nad Vodeno Rupo;Julijske Alpe;1995;1;['vrh']
Vrh Osojnic;Julijske Alpe;2371;3;['vrh']
Vrh Ovčje planje;Julijske Alpe;1965;1;['vrh']
Vrh Planje;Julijske Alpe;1971;3;['vrh']
Vrh Planje (nad Globokim);Julijske Alpe;1863;6;['vrh']
Vrh Razora;Julijske Alpe;1893;3;['vrh']
Vrh Škrli;Julijske Alpe;1926;2;['vrh']
Vrh Snežne konte;Julijske Alpe;2342;3;['vrh']
Vršac (nad Zadnjo Trento);Julijske Alpe;2113;2;['vrh']
Vršaki (Južni vrh);Julijske Alpe;2431;2;['vrh']
Vršaki (Srednji vrh);Julijske Alpe;2424;2;['vrh']
Vršaki (Vrh za Koritami);Julijske Alpe;2422;2;['vrh']
Vršaki (Vzhodni vrh);Julijske Alpe;2448;4;['vrh']
Vrše;Julijske Alpe;850;2;['vrh']
Vršič vrh;Julijske Alpe;1737;4;['vrh']
Vrtaška planina;Julijske Alpe;1462;2;['bivak', 'planina']
Vrtaški vrh;Julijske Alpe;1898;4;['vrh']
Vrtec;Julijske Alpe;1809;1;['vrh']
Žabiški Kuk;Julijske Alpe;1844;6;['vrh']
Zadnja Mojstrovka;Julijske Alpe;2354;2;['vrh']
Zadnja Ponca;Julijske Alpe;2242;2;['vrh']
Zadnji Vogel;Julijske Alpe;2327;1;['vrh']
Zadnjiški Ozebnik;Julijske Alpe;2084;2;['vrh']
Zagorelec;Julijske Alpe;2090;2;['vrh']
Zapotoški slapovi;Julijske Alpe;1140;1;['slap']
Zasavska koča na Prehodavcih;Julijske Alpe;2071;7;['vrh', 'koča', 'bivak']
Zavetišče pod Špičkom;Julijske Alpe;2064;4;['koča', 'bivak']
Zavitar;Julijske Alpe;1750;2;['vrh']
Zelenci;Julijske Alpe;845;3;['jezero']
Zeleni vrh;Julijske Alpe;2052;7;['vrh']
Zeleno jezero;Julijske Alpe;1988;4;['jezero']
Žerjavec (Kavče);Julijske Alpe;805;2;['vrh']
Zgornje Kriško jezero;Julijske Alpe;2158;2;['jezero']
Zgornji Goreljek (Pokljuka);Julijske Alpe;1260;5;['koča', 'planina', 'cerkev']
Zgornji Martuljkov slap;Julijske Alpe;1150;2;['slap']
Žičnica čez Tolminko;Julijske Alpe;500;1;['']
Ambrož pod Krvavcem;Kamniško Savinjske Alpe;1085;7;['koča', 'planina', 'cerkev']
Apnišče;Kamniško Savinjske Alpe;740;6;['vrh']
Baba;Kamniško Savinjske Alpe;1119;2;['vrh']
Bašeljski vrh;Kamniško Savinjske Alpe;1744;16;['vrh']
Bazilika Marije Pomagaj na Brezjah;Kamniško Savinjske Alpe;486;2;['cerkev']
Bezovec;Kamniško Savinjske Alpe;1326;1;['vrh']
Bezovec (Dobrovlje);Kamniško Savinjske Alpe;857;4;['vrh']
