Ime;Gorovje;Višina;Število_poti;Vrsta_cilja
Kokoš;Goriško, Notranjsko in Snežniško hribovje;670;9;['vrh', 'koča']
Kopitnik;Goriško, Notranjsko in Snežniško hribovje;929;4;['bivak']
Korada;Goriško, Notranjsko in Snežniško hribovje;812;3;['vrh', 'cerkev']
Kovk;Goriško, Notranjsko in Snežniško hribovje;961;3;['vrh']
Kraguljc;Goriško, Notranjsko in Snežniško hribovje;897;3;['vrh']
Krempa;Goriško, Notranjsko in Snežniško hribovje;944;1;['vrh']
Krim;Goriško, Notranjsko in Snežniško hribovje;1107;16;['vrh', 'koča']
Krimšček;Goriško, Notranjsko in Snežniško hribovje;940;1;['vrh']
Križna gora;Goriško, Notranjsko in Snežniško hribovje;857;3;['vrh', 'cerkev']
Križna gora (Hrušica);Goriško, Notranjsko in Snežniško hribovje;1162;3;['vrh']
Križna gora nad Colom;Goriško, Notranjsko in Snežniško hribovje;957;2;['vrh']
Krog;Goriško, Notranjsko in Snežniško hribovje;418;3;['vrh']
Krokar;Goriško, Notranjsko in Snežniško hribovje;1122;1;['vrh']
Kršičevec;Goriško, Notranjsko in Snežniško hribovje;1091;3;['vrh']
Kucelj na Čavnu;Goriško, Notranjsko in Snežniško hribovje;1237;12;['vrh']
Kuk;Goriško, Notranjsko in Snežniško hribovje;498;3;['vrh']
Kuk (Kolovrat);Goriško, Notranjsko in Snežniško hribovje;1243;3;['vrh']
Kuk nad Paljevim;Goriško, Notranjsko in Snežniško hribovje;612;3;['vrh', 'bivak']
Kuren (Sveti Miklavž);Goriško, Notranjsko in Snežniško hribovje;526;1;['koča', 'cerkev']
Kurešček;Goriško, Notranjsko in Snežniško hribovje;826;5;['vrh', 'cerkev']
Kuželjska stena;Goriško, Notranjsko in Snežniško hribovje;857;1;['vrh']
Lačna;Goriško, Notranjsko in Snežniško hribovje;451;6;['vrh']
Lašček;Goriško, Notranjsko in Snežniško hribovje;1071;4;['vrh']
Laze;Goriško, Notranjsko in Snežniško hribovje;450;1;['jezero', 'planina']
Lešenjak;Goriško, Notranjsko in Snežniško hribovje;552;1;['vrh']
Leskovica (nad Stražiščem);Goriško, Notranjsko in Snežniško hribovje;947;2;['vrh']
Lipnik;Goriško, Notranjsko in Snežniško hribovje;804;1;['vrh']
Ljubljanski vrh;Goriško, Notranjsko in Snežniško hribovje;819;1;['vrh']
Lopar;Goriško, Notranjsko in Snežniško hribovje;303;1;['vrh', 'cerkev']
Loška stena;Goriško, Notranjsko in Snežniško hribovje;875;5;['vrh']
Lovska koča na Planinski gori;Goriško, Notranjsko in Snežniško hribovje;879;4;['koča']
Lovska koča Plehanov laz;Goriško, Notranjsko in Snežniško hribovje;625;1;['koča']
Lovska koča Trešnja ravan;Goriško, Notranjsko in Snežniško hribovje;818;1;['']
Lovska koča Urška;Goriško, Notranjsko in Snežniško hribovje;908;1;['']
Lovska koča Vojkovo;Goriško, Notranjsko in Snežniško hribovje;775;5;['koča']
Lovski dom pod Glavico;Goriško, Notranjsko in Snežniško hribovje;610;2;['koča', 'sedlo']
